policy.doc.name,section.name,policy.statement,ostrom.statement.class,rule.category,rule.subcategory,cost.incurred.by,benefit.accrued.to
Community Guide,communication,"as much business of the project as possible should take place on public lists, but the private list is available for matters of a sensitive nature.",information,project,communication,podling,podling
Community Guide,communication,good netiquette requires that you seek permission from the poster before making public posts made to a private list.,aggregation,project,communication,podling,podling
Community Guide,community building,"before a podling graduates, it must create a diverse and self-sustaining community.",scope,project,risk mitigation,podling,podling
Community Guide,community building,"to address this challenge, committers may need to devote more time to community-building and less to development.",choice,project,risk mitigation,podling,podling
Community Guide,community building,"if the podling's software has lots of users but very few new developers, the community needs to do more work to encourage users to become developers.",choice,project,risk mitigation,podling,podling
Community Guide,community building,"however, once a project gains momentum, it may be more productive for the long-term health of a project to encourage users to propose solutions to non-critical problems and, thus, become more involved.",choice,project,risk mitigation,podling,podling
Community Guide,community building,try to encourage expert users to answer questions.,choice,project,risk mitigation,podling,podling
Community Guide,community building,try to encourage users to become developers.,choice,project,risk mitigation,podling,podling
Community Guide,community building,"when they give a good answer that the documentation doesn't cover, ask them to submit a patch.",choice,project,risk mitigation,podling,podling
Community Guide,community building,"when users suggest a good design or extension, ask for volunteers to help implement it rather than just coding it up.",choice,project,risk mitigation,podling,podling
Community Guide,helping developers become committers,"to become an apache committer, a developer needs to hang around long enough to accumulate a track record of contributions.",boundary,project,project governance,,podling
Community Guide,helping developers become committers,it may also be that the committer bar is set too high.,boundary,project,project governance,,podling
Community Guide,helping developers become committers,promptly reviewing patches or pull requests is essential.,choice,project,project governance,podling,podling
Community Guide,helping developers become committers,provide credit in the commit message and when closing the issue.,information,project,project governance,podling,podling
Community Guide,helping developers become committers,it's also good to encourage developers by suggesting new related work they may like to volunteer to work on.,choice,project,risk mitigation,podling,podling
PPMC Guide,podling project management committee (ppmc),each podling project management committee (ppmc) helps its podling learn how to govern itself.,choice,project,risk mitigation,podling,podling
PPMC Guide,podling project management committee (ppmc),"initially, it is composed of the podling's mentors and the initial committers.",position,project,project governance,podling,podling
PPMC Guide,podling project management committee (ppmc),"the ppmc is directly responsible for the oversight of the podling, and it also decides who to add as a ppmc member.",choice,project,project governance,podling,podling
PPMC Guide,private email list,a private email list named private@ project lets the ppmc discuss confidential topics.,information,project,communication,Apache,podling
PPMC Guide,private email list,most communication should be on the podling's dev list!,information,project,communication,,
PPMC Guide,private email list,"the private list is only for confidential discussions that should not be made public, such as the suitability of a particular individual to become a committer or a member of the ppmc.",information,project,communication,,
PPMC Guide,private email list,the mentors should verify that all ppmc members are subscribed to the private list.,choice,incubation,roles and responsibilities,,
PPMC Guide,private email list,"each member of the ppmc should be on the dev list, so posting to dev is sufficient.",information,project,communication,,
PPMC Guide,private email list,"each member of the incubator pmc is on the incubator general list, so posting to the general list is sufficient.",information,incubation,communication,,
PPMC Guide,podling status reports,"on a monthly basis, the ipmc collects reports from each incubating project and sends them to the asf board.",information,incubation,communication,podling,Apache
PPMC Guide,podling status reports,watch the incubator general email list for when these become due.,information,project,communication,podling,Apache
PPMC Guide,podling status reports,the incubator report includes the status of a subset of the incubating projects.,information,incubation,risk mitigation,podling,Apache
PPMC Guide,podling status reports,"currently, new podlings report to the incubator monthly for the first three months, then quarterly after that.",information,project,risk mitigation,podling,Apache
PPMC Guide,podling status reports,the ppmc does not have to fill out the report itself; the ppmc is just responsible for making sure that it gets filled out.,choice,project,roles and responsibilities,podling,podling
PPMC Guide,podling status reports,it is better to discuss the report on the dev list and ask everyone to contribute to it.,information,project,project governance,podling,podling
PPMC Guide,podling status reports,"if mentors disagree with the posted report, they should say so; otherwise, the incubator pmc assumes that the report speaks for the community.",choice,project,project governance,Apache,Apache
PPMC Guide,podling status reports,mentors must sign off on podling reports.,choice,incubation,Apache governance,Apache,Apache
PPMC Guide,podling status reports,"- if there is no mentor sign off, the ipmc will not accept the report from that podling; it will have to submit a new report in the following month.",payoff,incubation,Apache governance,podling,Apache
PPMC Guide,podling status reports,add your podling reports to the incubator wiki:,information,project,communication,podling,Apache
PPMC Guide,podling status reports,- add each podling report to the incubator wiki,,,,,
PPMC Guide,podling status reports,"- follow the instructions in your report reminder, and post on the month year page, with the provided template",,,,,
PPMC Guide,project status page,"in addition to the quarterly status reports, each podling has a page on the incubator web site that tracks its status (see the complete list for examples).",information,project,communication,Apache,Apache
PPMC Guide,maintaining the podling roster,maintain your podling roster in whimsy podling roster .,information,project,infrastructure,podling,Apache
PPMC Guide,adding committers,"adding committers is one of the most important functions of any pmc, including incubator podlings.",choice,project,risk mitigation,podling,podling
PPMC Guide,adding committers,there are no asf-wide rules on how to decide when to invite someone to become a committer. experience shows that it's best to keep the bar low.,,,,,
PPMC Guide,adding committers,"most projects use formal [discuss] and [vote] threads on the private email list, and others use a more ""lazy"" consensus approach.",aggregation,project,project governance,podling,podling
PPMC Guide,adding committers,the podling incubator reports should document any committers added since the previous report.,information,project,communication,podling,Apache
PPMC Guide,adding committers,"if the podling decides in favor of the potential committer, it offers committership to the nominee.",choice,project,project governance,podling,podling
PPMC Guide,adding committers,"if the nominee accepts the responsibility of being a committer for the project, the nominee formally becomes an apache committer.",boundary,project,project governance,,
PPMC Guide,adding committers,the proposer then asks an ipmc member (typically one of the mentors) to follow the documented procedures to complete the process.,choice,project,project governance,Apache,podling
PPMC Guide,adding committers,"if the nominee is already an apache committer on another project, the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",,,,,
PPMC Guide,adding committers,"the proposer then directs the new committer to the apache developer's pages , to the apache incubator site and to the incubator committers guide for important additional information.",choice,project,roles and responsibilities,podling,podling
PPMC Guide,voting in a new ppmc member,it should be a goal of a podling to have all committers participate in the ppmc.,choice,project,project governance,podling,podling
PPMC Guide,voting in a new ppmc member,the ppmc should take an active role in watching committers develop as community participants.,choice,project,risk mitigation,podling,podling
PPMC Guide,voting in a new ppmc member,"they should identify those who are participating at a community level (not just a technical one), and approach them with an offer of ppmc membership.",choice,project,risk mitigation,podling,podling
PPMC Guide,voting in a new ppmc member,any member of the ppmc can propose a new member of the ppmc.,boundary,project,project governance,podling,podling
PPMC Guide,voting in a new ppmc member,"the proposal should be discussed in private on the ppmc's private email list, with a subject line of ""[discuss] joe bob ppmc membership"".",information,project,communication,,
PPMC Guide,voting in a new ppmc member,"if there is consensus that the proposed member is suitable, there should be a formal vote with the subject line of ""[vote] joe bob ppmc membership"" on the ppmc's private email list.",aggregation,project,project governance,podling,podling
PPMC Guide,voting in a new ppmc member,"if the vote is successful, a member of the ppmc sends a message to the ppmc private email list, with the subject line of ""[vote][result] joe bob ppmc membership"".",information,project,communication,podling,podling
PPMC Guide,voting in a new ppmc member,the nominating ppmc member should send a message to the ipmc ( private@incubator.apache.org ) with a reference to the vote result in the following form:,information,project,communication,podling,Apache
PPMC Guide,voting in a new ppmc member,to: private at incubator.apache.org,,,,,
PPMC Guide,voting in a new ppmc member,cc: private at podling.incubator.apache.org,,,,,
PPMC Guide,voting in a new ppmc member,subject: [notice] joe bob for podling ppmc,,,,,
PPMC Guide,voting in a new ppmc member,body:,,,,,
PPMC Guide,voting in a new ppmc member,joe bob has been voted as a new member of the *podling* ppmc. the vote thread is at: *link to the vote thread*,,,,,
PPMC Guide,voting in a new ppmc member,note that there is a grace period of 72 hours from when the ppmc sends the notice to the ipmc to when the ppmc should formally invite the proposed member.,choice,project,project governance,podling,Apache
PPMC Guide,voting in a new ppmc member,this is an important part of the overall process.,,,,,
PPMC Guide,voting in a new ppmc member,failure to do this can result in an embarassing situation for people involved.,payoff,project,project governance,,
PPMC Guide,voting in a new ppmc member,"in the email you send, replace podling with your podling's actual name, and replace joe bob with the person's actual name.",,,,,
PPMC Guide,voting in a new ppmc member,"after 72 hours, the ppmc should invite joe bob to join it, using message like this .",choice,project,communication,podling,podling
PPMC Guide,voting in a new ppmc member,"once the proposed member has accepted, a moderator for the ppmc mail list accepts the new member's subscription request.",choice,project,infrastructure,podling,podling
PPMC Guide,adding mentors,a mentor must be an ipmc member.,boundary,incubation,pre-requisite,Apache,Apache
PPMC Guide,adding mentors,people who are not ipmc members can still help out in an informal capacity.,choice,incubation,Apache governance,Apache,podling
PPMC Guide,adding mentors,ipmc members are free to volunteer to mentor a podling.,choice,incubation,risk mitigation,Apache,podling
PPMC Guide,adding mentors,"to do so, they should mail the podling stating their intentions.",information,incubation,communication,Apache,podling
PPMC Guide,adding mentors,the podling should then decide whether it wants to add the mentor.,choice,project,risk mitigation,podling,podling
PPMC Guide,adding mentors,"if the podling decides to add the mentor, it should do so in the whimsy podling roster .",information,project,infrastructure,podling,Apache
PPMC Guide,adding mentors,"if a podling is in a position where they feel they need a new mentor, they can drop an email on the general incubator email list to try to recruit a one.",choice,project,risk mitigation,podling,podling
PPMC Guide,removing a mentor,after discussing it with the ppmc you can have someone with access (another mentor) remove the mentor via whimsy.,choice,project,risk mitigation,podling,podling
PPMC Guide,ppmc and binding votes,the only time when a ppmc member's vote is binding is for the addition of new ppmc members and committers.,aggregation,project,project governance,podling,podling
PPMC Guide,ppmc and binding votes,release votes are only binding for ipmc members.,aggregation,incubation,project governance,Apache,podling
Apache Cookbook,does our project fit the apache incubator?,"donating your project to the asf means giving up control of it, and its trademarks if any.",boundary,project,pre-requisite,podling,Apache
Apache Cookbook,does our project fit the apache incubator?,"to give our ""podlings"" (incubating projects) the best chances of success, we usually ask them to enter the incubator with at least the start of a community built around an existing codebase.",boundary,project,pre-requisite,podling,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,"to achieve this, an incoming project (""podling"") goes through the following steps:",,,,,
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,find a champion and incubation mentors and discuss and prepare an incubation proposal,choice,project,pre-requisite,podling,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,decide to incubate at the asf,choice,project,pre-requisite,podling,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,discuss the proposal with the incubator pmc,choice,project,pre-requisite,podling,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,"if needed, refine the list of initial committers and mentors in the proposal",choice,project,pre-requisite,podling,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,"if needed, refine the proposal based on incubator pmc feedback",choice,project,pre-requisite,podling,Apache
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,let the incubator pmc vote on the proposal,aggregation,project,Apache governance,Apache,Apache
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,set up the podling's infrastructure,choice,project,infrastructure,Apache,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,start building a community around the podling's code,choice,project,risk mitigation,podling,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,invite new committers and ppmc members,choice,project,risk mitigation,podling,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,make podling releases and document and refine both the code and the release process,choice,project,risk mitigation,podling,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,"when you feel ready to graduate, assess the podling's readiness with the incubation mentors",choice,project,project governance,podling,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,"if applicable, prepare the transfer of existing trademarks to the asf",choice,project,Apache protection,podling,Apache
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,discuss graduation with the incubator pmc,choice,project,project governance,podling,podling
Apache Cookbook,what are the steps to becoming an apache software foundation top-level project?,"start the graduation vote with the incubator pmc, leading to an asf board resolution to establish the tlp",aggregation,project,Apache governance,Apache,podling
Apache Cookbook,communicating with the incubator,to communicate with the incubator pmc use the public link:+https://lists.apache.org/list.html?,information,project,communication,,
Apache Cookbook,finding a champion and mentors,"to enter the incubator, your project needs a champion and at least two or three mentors .",boundary,project,pre-requisite,Apache,podling
Apache Cookbook,finding a champion and mentors,"these people need to be part of the incubator pmc, which asf members can join just by asking.",boundary,incubation,Apache governance,Apache,Apache
Apache Cookbook,finding a champion and mentors,"the champion helps the incoming podling in the process of creating their proposal and acts as a liaison between the podling and the incubator pmc for the initial steps, at least until the podling's proposal is accepted.",position,incubation,roles and responsibilities,Apache,podling
Apache Cookbook,finding a champion and mentors,they may stay on to act as a mentor after that.,choice,incubation,roles and responsibilities,Apache,podling
Apache Cookbook,finding a champion and mentors,the mentors accompany the podling through all phases that lead to graduation as a top-level project.,position,incubation,risk mitigation,Apache,podling
Apache Cookbook,finding a champion and mentors,the starting point is usually to find a champion.,,,,,
Apache Cookbook,finding a champion and mentors,"for that you might write to the general@incubator.a.o list with a brief description of your project, with relevant links, mentioning that you are looking for a champion and trying to get people interested.",choice,project,communication,podling,podling
Apache Cookbook,finding a champion and mentors,"or, if you know any asf members or incubation mentors, ask them directly if they would be willing to help.",choice,project,communication,podling,podling
Apache Cookbook,creating an incubation proposal,the champion helps the podling prepare an incubation proposal that describes the incoming project for the initial discussions with the incubator pmc.,choice,incubation,roles and responsibilities,Apache,podling
Apache Cookbook,discussing the incubation proposal,"once the proposal is ready, the podling representatives send it to the general@incubator.a.o list for discussion, with a subject line like [discuss] foo proposal to raise the incubator pmc's attention.",information,incubation,Apache governance,podling,Apache
Apache Cookbook,discussing the incubation proposal,"once the discussion phase is finished, the champion or a podling representative starts a [vote] thread on the general@incubator.a.o list.",choice,incubation,Apache governance,podling,Apache
Apache Cookbook,discussing the incubation proposal,the vote happens according to the asf voting rules .,aggregation,incubation,Apache governance,Apache,Apache
Apache Cookbook,discussing the incubation proposal,"in short, it takes place on the incubator email list, lasts at least 72 hours, and is a majority vote by the incubator pmc members, with others being welcome to cast votes.",aggregation,incubation,Apache governance,Apache,Apache
Apache Cookbook,podling infrastructure setup,"once the incubator pmc votes to establish the podling, its infrastructure can be set up. usually, the champion or incubation mentors drive this process.",choice,project,roles and responsibilities,Apache,podling
Apache Cookbook,podling infrastructure setup,"however, it can also be driven by podling community members if they know how to proceed.",choice,project,roles and responsibilities,podling,podling
Apache Cookbook,publicity and announcements,project can not issue press releases or other public statements about joining the asf before the incubator pmc accepts the podling.,choice,project,Apache protection,podling,Apache
Apache Cookbook,publicity and announcements,there are also some restrictions about how podlings can advertise themselves and especially around press releases related to podlings.,choice,project,Apache protection,podling,Apache
Apache Cookbook,importing the initial code,"a specific process exists do donate code to the asf, which podlings also need to follow, based on software grants and/or cclas .",choice,incubation,Apache governance,podling,Apache
Apache Cookbook,community building,"during incubation, the podling is expected to build and expand its community, which includes voting in new committers and ppmc members.",choice,project,risk mitigation,podling,podling
Apache Cookbook,community building,discussions of candidates and votes happen on the podling's private ppmc mailing list.,information,project,communication,podling,podling
Apache Cookbook,podling releases,"during incubation, we expect a podling to make several software releases that gradually progress towards being fully conformant to the asf release policy .",choice,project,graduation criteria,podling,Apache
Apache Cookbook,podling releases,producing fully-conformant releases is a condition for graduation.,boundary,project,graduation criteria,podling,Apache
Apache Cookbook,podling releases,"podling releases must also include the word ""incubating"" in any release file names and include a disclaimer or disclaimer-wip as per the incubator releases guide , to prevent any confusion as to the project’s status.",choice,project,release management,podling,Apache
Apache Cookbook,two-phase vote on podling releases,voting on podling releases happens in two phases:,aggregation,project,project governance,podling,podling
Apache Cookbook,two-phase vote on podling releases,"first, the podling votes on the release on their dev mailing list.",aggregation,project,project governance,podling,podling
Apache Cookbook,two-phase vote on podling releases,"the vote is successful if there are at least three +1 votes from ppmc members, and more +1 than -1 votes from ppmc members.",aggregation,project,project governance,podling,podling
Apache Cookbook,two-phase vote on podling releases,"then, if that first vote is successful, the incubator pmc holds a vote on the incubator general mailing list.",aggregation,incubation,Apache governance,Apache,podling
Apache Cookbook,two-phase vote on podling releases,"this is required to make the vote an act of the foundation, as for all asf releases.",aggregation,incubation,Apache governance,Apache,Apache
Apache Cookbook,two-phase vote on podling releases,"report votes from the podling dev list to the incubator pmc vote in the incubator pmc [vote] message, by explicitly mentioning the podling vote result and including a lists.apache.org link to the podling vote tally. this allows votes from mentors and other incubator pmc members to be binding in the incubator pmc vote, without people having to vote twice.",information,project,communication,podling,Apache
Apache Cookbook,two-phase vote on podling releases,"both the podling and incubator votes follow the standard asf voting principles : they are majority votes that last at least 72 hours, and if people vote several times only their last vote counts.",aggregation,incubation,Apache governance,,
Apache Cookbook,graduation readiness assessment,"once the podling community starts feeling ready to graduate, they should make a self-assessment of that readiness.",choice,project,graduation criteria,podling,podling
Apache Cookbook,graduation readiness assessment,the maturity model maintained by the asf's community development pmc is a good canvas for that and can help discover things that might have been overlooked during incubation.,information,incubation,graduation criteria,Apache,podling
Apache Cookbook,graduation discussion,"once the community and its incubation mentors feel that the podling is ready to graduate, based on their readiness self-assessment, a mentor or a member of the ppmc starts a [discuss] thread on the incubator general email list, proposing graduation and asking the incubator pmc to review the podling.",information,project,risk mitigation,Apache,podling
Apache Cookbook,transfering trademarks to the asf,"if the people or organizations that donated the podling code to the asf own trademarks that the podling needs, they must transfer the trademarks to the asf before the podling can graduate.",choice,project,graduation criteria,podling,Apache
Apache Cookbook,graduation vote,"once the discussion dies down on the graduation proposal, a mentor or a member of the ppmc starts a [vote] thread on the incubator general mailing list, in which incubator pmc members cast their votes whether to recommend graduation to the asf's board of directors.",aggregation,project,risk mitigation,Apache,podling
Apache Cookbook,graduation vote,this vote follows the standard asf voting principles .,aggregation,incubation,Apache governance,,
Apache Cookbook,graduation vote,"it's a majority vote that lasts at least 72 hours, and if people vote several times only their last vote counts.",aggregation,incubation,Apache governance,,
Apache Cookbook,asf board resolution,"once the incubator pmc votes to graduate a podling, the ipmc sends the board resolution that was created for the vote to the asf's board of directors.",choice,incubation,Apache governance,Apache,podling
Apache Cookbook,asf board resolution,"the board vote is effective immediately, although the public minutes of the board meeting appear later, usually within a month.",aggregation,incubation,Apache governance,,
Apache Cookbook,post-graduation tasks,"once graduated, the podling needs to reflect its new status on the incubator status pages and make a few changes to its resources and processes.",choice,project,infrastructure,podling,podling
Mentor Guide,add to incubation summary file,"add the podling to the podling summary file in the ""incubator"" svn at content/podlings.xml (e.g. copy the entry from another podling that also has status=""current"") and see instructions .",choice,incubation,infrastructure,Apache,Apache
Mentor Guide,initialize podling status page,a mentor needs to create the web page that will track the project's status.,choice,project,infrastructure,Apache,Apache
Mentor Guide,initialize podling status page,a mentor will also need to update it until others in the project's ppmc can update it .,choice,project,roles and responsibilities,Apache,podling
Mentor Guide,initialize podling status page,the status page is the incubator's record of the progress made.,,,,,
Mentor Guide,initialize podling status page,it must be kept update to date during incubation.,choice,project,communication,podling,Apache
Mentor Guide,initialize podling status page,as the startup process continues and resources are created the status should be updated.,choice,project,communication,podling,Apache
Mentor Guide,initialize podling status page,the template contains lists of actions which may be needed to start up a podling. all those which do not apply should be deleted.,choice,project,infrastructure,Apache,podling
Mentor Guide,initialize podling status page,the status page is a useful aid to workflow. volunteers can use it to sign up to the various tasks and monitor their progress.,choice,project,project governance,Apache,podling
Mentor Guide,initialize podling status page,once the mailing lists are set up and prospective committers subscribe then these may be used for discussion.,choice,project,communication,podling,podling
Mentor Guide,resources,"resources should be requested in a particular order, and based on paperwork processed. do not request source repositories before sgas are filed, for instance, if the source code is not already apache licensed or category a licensed.",choice,project,infrastructure,Apache,podling
Mentor Guide,resources,the proposal should include a list of required resources. all of these will require active set up.,choice,project,infrastructure,Apache,podling
Mentor Guide,resources,"some are created by infrastructure after an appropriate request, others can be set up by any ipmc members (typically mentors).",choice,incubation,infrastructure,Apache,podling
Mentor Guide,resources,"infra has a guide that you can use to understand the flow of resource requests, and should be used to guide you in requesting resources.",information,project,infrastructure,Apache,podling
Mentor Guide,infra and the incubator,the first resources to be created are ldap and dns. these should be requested from infra via apache infra jira → create task,choice,incubation,infrastructure,Apache,podling
Mentor Guide,infra and the incubator,"once these items are requested, mailing lists should be created next.",choice,project,infrastructure,Apache,podling
Mentor Guide,request mailing lists,apache mailing lists require volunteer moderators.,position,incubation,Apache governance,Apache,podling
Mentor Guide,request mailing lists,new moderators can be changed later but at least one volunteer is required before the mailing lists can be set up.,choice,project,Apache governance,Apache,podling
Mentor Guide,request mailing lists,moderation is a reasonably easy task though moderators may want to set up spam filtering .,,,,,
Mentor Guide,request mailing lists,having at least three moderators is recommended to spread the load.,choice,project,project governance,Apache,Apache
Mentor Guide,request mailing lists,the proposal should contain the rest of the information that needs to be collected before the mailing lists can be requested.,choice,project,infrastructure,podling,podling
Mentor Guide,request mailing lists,incubator is the responsible top level project. so the domain must be incubator.apache.org .,choice,incubation,infrastructure,Apache,podling
Mentor Guide,request mailing lists,a podling that is already established and using an existing user interaction channel may want to keep those resources around until they feel they have transitioned to the asf successfully.,choice,project,project governance,podling,podling
Mentor Guide,request mailing lists,you will want to discuss this on your existing development lists.,choice,project,project governance,podling,podling
