"new_word","sid","sid_text","tid","CodeType","Code"
"podlings",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",12,"",""
"to",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",13,"",""
"report",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",14,"",""
"more",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",15,"",""
"frequently",2,"ROOT the incubator pmc may , at their discretion , ask a podlings to report more frequently .",16,"",""
"the",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",1,"",""
"ppmc",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",2,"",""
"with",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",3,"",""
"the",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",4,"",""
"mentor",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",5,"",""
"s",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",7,"",""
"help",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",9,"",""
"must",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",11,"",""
"produce",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",12,"",""
"a",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",13,"",""
"report",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",14,"",""
"for",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",15,"",""
"the",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",16,"",""
"incubator",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",17,"",""
"pmc",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",18,"",""
"detailing",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",19,"",""
"overall",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",20,"",""
"progress",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",21,"",""
"toward",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",22,"",""
"graduation",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",23,"",""
"and",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",24,"",""
"any",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",25,"",""
"issues",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",26,"",""
"the",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",27,"",""
"podling",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",28,"",""
"has",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",29,"",""
"encountered",3,"ROOT the ppmc with the mentor ( s ) help , must produce a report for the incubator pmc detailing overall progress toward graduation and any issues the podling has encountered .",30,"",""
"there",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",1,"",""
"are",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",2,"",""
"restrictions",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",3,"",""
"on",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",4,"",""
"where",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",5,"",""
"podlings",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",6,"",""
"can",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",7,"",""
"host",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",8,"",""
"their",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",9,"",""
"websites",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",10,"",""
"and",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",11,"",""
"what",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",12,"",""
"branding",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",13,"",""
"they",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",14,"",""
"can",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",15,"",""
"use",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",16,"",""
"on",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",17,"",""
"them",4,"ROOT there are restrictions on where podlings can host their websites and what branding they can use on them .",18,"",""
"there",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",1,"",""
"are",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",2,"",""
"restrictions",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",3,"",""
"about",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",4,"",""
"how",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",5,"",""
"podlings",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",6,"",""
"can",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",7,"",""
"use",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",8,"",""
"their",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",9,"",""
"own",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",10,"",""
"and",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",11,"",""
"other",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",12,"",""
"asf",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",13,"",""
"brands",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",14,"",""
"and",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",15,"",""
"names",5,"ROOT there are restrictions about how podlings can use their own and other asf brands and names .",16,"",""
"there",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",1,"",""
"are",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",2,"",""
"some",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",3,"",""
"restrictions",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",4,"",""
"about",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",5,"",""
"how",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",6,"",""
"podlings",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",7,"",""
"can",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",8,"",""
"advertise",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",9,"",""
"themselves",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",10,"",""
"especially",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",12,"",""
"in",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",13,"",""
"press",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",14,"",""
"releases",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",15,"",""
"related",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",16,"",""
"to",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",17,"",""
"podlings",6,"ROOT there are some restrictions about how podlings can advertise themselves , especially in press releases related to podlings .",18,"",""
"podling",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",1,"",""
"web",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",2,"",""
"sites",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",3,"",""
"must",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",4,"",""
"include",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",5,"",""
"a",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",6,"",""
"clear",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",7,"",""
"disclaimer",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",8,"",""
"on",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",9,"",""
"their",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",10,"",""
"website",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",11,"",""
"and",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",12,"",""
"in",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",13,"",""
"all",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",14,"",""
"documentation",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",15,"",""
"releases",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",17,"",""
"and",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",18,"",""
"release",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",19,"",""
"announcements",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",20,"",""
"stating",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",21,"",""
"that",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",22,"",""
"they",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",23,"",""
"are",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",24,"",""
"in",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",25,"",""
"incubation",7,"ROOT podling web sites must include a clear disclaimer on their website and in all documentation , releases and release announcements stating that they are in incubation .",26,"",""
"a",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",1,"",""
"podling",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",2,"",""
"has",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",3,"",""
"a",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",4,"",""
"choice",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",5,"",""
"of",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",6,"",""
"two",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",7,"",""
"disclaimers",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",8,"",""
"a",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",10,"",""
"standard",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",11,"",""
"disclaimer",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",12,"",""
"or",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",13,"",""
"a",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",14,"",""
"work",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",15,"",""
"in-",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",17,"",""
"progress",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",18,"",""
"disclaimer",8,"ROOT a podling has a choice of two disclaimers : a standard disclaimer or a work - in- progress disclaimer .",19,"",""
"podlings",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",1,"",""
"wishing",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",2,"",""
"to",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",3,"",""
"use",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",4,"",""
"a",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",5,"",""
"different",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",6,"",""
"disclaimer",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",7,"",""
"message",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",8,"",""
"must",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",9,"",""
"have",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",10,"",""
"the",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",11,"",""
"incubator",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",12,"",""
"pmc",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",13,"",""
"approve",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",14,"",""
"it",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",15,"",""
"before",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",16,"",""
"use",9,"ROOT podlings wishing to use a different disclaimer message must have the incubator pmc approve it before use .",17,"",""
"podlings",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",1,"",""
"wanting",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",2,"",""
"to",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",3,"",""
"follow",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",4,"",""
"all",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",5,"",""
"asf",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",6,"",""
"policy",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",7,"",""
"on",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",8,"",""
"releases",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",9,"",""
"should",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",10,"",""
"use",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",11,"",""
"the",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",12,"",""
"following",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",13,"",""
"text",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",14,"",""
"for",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",15,"",""
"all",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",16,"",""
"disclaimers",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",17,"",""
"replace",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",19,"",""
"the",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",20,"",""
"underlined",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",21,"",""
"text",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",22,"",""
"as",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",23,"",""
"appropriate",10,"ROOT podlings wanting to follow all asf policy on releases should use the following text for all disclaimers ( replace the underlined text as appropriate ) :",24,"",""
"apache",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",1,"",""
"podling",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",2,"",""
"name",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",4,"",""
"is",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",5,"",""
"an",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",6,"",""
"effort",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",7,"",""
"undergoing",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",8,"",""
"incubation",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",9,"",""
"at",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",10,"",""
"the",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",11,"",""
"apache",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",12,"",""
"software",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",13,"",""
"foundation",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",14,"",""
"asf",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",16,"",""
"sponsored",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",19,"",""
"by",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",20,"",""
"the",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",21,"",""
"name",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",22,"",""
"of",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",23,"",""
"apache",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",24,"",""
"tlp",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",25,"",""
"sponsor",11,"ROOT apache podling - name is an effort undergoing incubation at the apache software foundation ( asf ) , sponsored by the name of apache tlp sponsor .",26,"",""
"incubation",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",1,"",""
"is",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",2,"",""
"required",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",3,"",""
"of",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",4,"",""
"all",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",5,"",""
"newly",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",6,"",""
"accepted",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",7,"",""
"projects",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",8,"",""
"until",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",9,"",""
"a",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",10,"",""
"further",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",11,"",""
"review",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",12,"",""
"indicates",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",13,"",""
"that",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",14,"",""
"the",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",15,"",""
"infrastructure",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",16,"",""
"communications",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",18,"",""
"and",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",20,"",""
"decision",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",21,"",""
"making",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",22,"",""
"process",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",23,"",""
"have",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",24,"",""
"stabilized",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",25,"",""
"in",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",26,"",""
"a",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",27,"",""
"manner",12,"ROOT incubation is required of all newly accepted projects until a further review indicates that the infrastructure , communications , and decision making process have stabilized in a manner consistent with other successful asf projects .",28,"",""
